No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
2,1,"gluten free restaurants philadelphia""""",Sweet Freedom Bakery,"Allergen-Free Bakery-215.545.1899 1424 South St Philadelphia, PA ",www.sweetfreedombakery.com,"1424 South Street, Philadelphia, PA",1270492300
2,2,"gluten free restaurants philadelphia""""",GF Restaurant Menus,View Gluten Free Menus of National and Regional Restaurant Chains ,GlutenFreeTravelSite.com,,1270492300
4,1,"romantic restaurants in philly""""",Award-Winning Restaurant,Italian Cuisine. World&#39;s Largest Wine Bar 120 Wines By Glass Phila. ,www.panoramaristorante.com,,1270492309
4,2,"romantic restaurants in philly""""",Phillyfunguide,Find your fun in Philadelphia! ,www.Phillyfunguide.com,,1270492309
4,3,"romantic restaurants in philly""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492309
4,4,"romantic restaurants in philly""""",Philly Date Restaurants,Find a Place That You&#39;ll Both Actually Like with Thrillist. ,Thrillist.com,"Philadelphia, PA",1270492309
4,1,"restaurants near philadelphia""""",Cheeseburger in Paradise,Check Out What&#39;s New- Same Great Food &amp; Drinks w/ A Sports Updgrade! ,CheeseburgerInParadise.com/PA,,1270492321
4,2,"restaurants near philadelphia""""",Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492321
4,3,"restaurants near philadelphia""""",Restaurant.com®,Find Local Restaurants in Your Area Browse 1000s of Restaurants &amp; Save! ,www.Restaurant.com,,1270492321
4,4,"restaurants near philadelphia""""",Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270492321
4,1,"restaurants in philadelphia downtown""""",Phillyfunguide,Find your fun in Philadelphia! ,www.Phillyfunguide.com,,1270492335
4,2,"restaurants in philadelphia downtown""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492335
4,3,"restaurants in philadelphia downtown""""",Eat for Less in Philly,Just enter your email and get up to 85% off Philadelphia restaurants... ,www.DealOn.com,"Philadelphia, PA",1270492335
4,4,"restaurants in philadelphia downtown""""",Top Restaurant in Philly,"Enjoy Breakfast, Lunch Or Dinner At The Top-Rated Fountain Restaurant. ",FourSeasons.com/Philadelphia,,1270492335
1,1,"restaurants on south street philadelphia""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492340
3,1,"restaurants in philadephia""""",Top Restaurant in Philly,Taste the Luxury Of Fine Dining At Four Seasons Fountain Restaurant! ,FourSeasons.com/Philadelphia,,1270492352
3,2,"restaurants in philadephia""""",Philadelphia Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Philadelphia, PA",1270492352
3,3,"restaurants in philadephia""""",Restaurants In Philadelphia,Guide to Philadelphia Restaurants Browse by Cuisine or Location ,www.WhereTraveler.com/Philadelphia,,1270492352
2,1,"vegetarian restaurants in philly""""",Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492366
2,2,"vegetarian restaurants in philly""""",Horizons Restaurant,Healthy Fine-Dining on South Street Modern Cuisine and Warm Atmosphere ,www.horizonsphiladelphia.com,"611 S 7th St, Philadelphia, PA",1270492366
4,1,"fine dining restaurants philadelphia""""",Philadelphia Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"Philadelphia, PA",1270492378
4,2,"fine dining restaurants philadelphia""""",Philly&#39;s Best Restaurants,Unbiased reviews Free concierge/Party Planning ,www.Thebestoffood.com,,1270492378
4,3,"fine dining restaurants philadelphia""""",Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270492378
4,4,"fine dining restaurants philadelphia""""",Moshulu Restaurant Phila,"Waterfront Dining, Unique Tall Ship with Inspired Seafood &amp; Steak. ",www.Moshulu.com,,1270492378
