No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
1,1,Baltimore Middle Eastern restaurant,Middle eastern restaurant,Find middle eastern restaurant here. We offer local search in your area. ,baltimore.local.com,"Baltimore, MD",1269140711
2,1,Boston Middle Eastern restaurant,Moroccan &amp; Middle Eastern,Unique Furniture-Lighting-Jewelry Syrian Mother-of-Pearl Inlay ,wunderley.com,,1269140717
2,2,Boston Middle Eastern restaurant,Middle Eastern Food Menu,"Order Food Online From Restaurants In &amp; Around Boston, Massachusetts! ",www.AllMenus.com,"Boston, MA",1269140717
2,1,El Paso Middle Eastern restaurant,Bing ™ Search Local,El Paso Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269140729
2,2,El Paso Middle Eastern restaurant,Middle eastern restaurant,Find middle eastern restaurant here. We offer local search in your area. ,elpaso.local.com,"El Paso, TX",1269140729
1,1,Milwaukee Middle Eastern restaurant,Milwaukee Local Business,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269140735
1,1,Seattle Middle Eastern restaurant,Middle-East Restaurants,Seattle middle-east restaurants. Find local businesses on DexKnows. ,www.DexKnows.com,,1269141150
1,1,Washington Middle Eastern restaurant,Moroccan &amp; Middle Eastern,Unique Furniture-Lighting-Jewelry Syrian Mother-of-Pearl Inlay ,wunderley.com,,1269141171
1,1,Las Vegas Middle Eastern restaurant,Middle-East Restaurants,Las Vegas middle-east restaurants. Find local businesses on DexKnows. ,www.DexKnows.com,,1269141182
1,1,Louisville Middle Eastern restaurant,Louisville Restaurants,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269141204
1,1,Oklahoma City Middle Eastern restaurant,Oklahoma City Restaurants,Oklahoma Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269141211
1,1,Tucson Middle Eastern restaurant,Bing™ Search Local,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269141221
1,1,Atlanta Middle Eastern restaurant,Moroccan &amp; Middle Eastern,Unique Furniture-Lighting-Jewelry Syrian Mother-of-Pearl Inlay ,wunderley.com,,1269141227
2,1,Albuquerque Middle Eastern restaurant,Middle Eastern Cafes,Middle Eastern Cuisine Near You. Search Our Restaurant Listings Now! ,yellowpages.com,"Albuquerque-Santa Fe, NM",1269141236
2,2,Albuquerque Middle Eastern restaurant,Middle-East Restaurants,Find local middle-east restaurants in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269141236
1,1,Fresno Middle Eastern restaurant,Middle Eastern Cafes,Middle Eastern Cuisine Near You. Search Our Restaurant Listings Now! ,yellowpages.com,"Fresno-Visalia, CA",1269141249
1,1,Sacramento Middle Eastern restaurant,Middle Eastern Cafes,Search Our Restaurants Listings For Middle Eastern Cuisine Near You! ,yellowpages.com,"Sacramento-Stockton-Modesto, CA",1269141257
2,1,Long Beach Middle Eastern restaurant,Bing™ Search Local,Long Beach Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269141265
2,2,Long Beach Middle Eastern restaurant,Long Beach Restaurants,Find listings &amp; reviews for top restaurants in Long Beach. ,yellowpages.com,"Long Beach, CA",1269141265
1,1,Omaha Middle Eastern restaurant,Bing™ Search Local,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269141304
1,1,Virginia Beach Middle Eastern restaurant,Bing ™ Search Local,Virginia Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269141326
1,1,Miami Middle Eastern restaurant,Moroccan &amp; Middle Eastern,Unique Furniture-Lighting-Jewelry Syrian Mother-of-Pearl Inlay ,wunderley.com,,1269141333
1,1,Oakland Middle Eastern restaurant,Bing ™ Search Local,Oakland Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269141347
1,1,Raleigh Middle Eastern restaurant,Margaux&#39;s Restaurant,"Lunch, dinner, gourmet desserts See our menu online. ",MargauxsRestaurant.com,"8111 Creedmoor Rd # 111, Raleigh, NC",1269141360
1,1,Tulsa Middle Eastern restaurant,Bing ™ Search Local,Tulsa Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269141373
2,1,Minneapolis Middle Eastern restaurant,Bing ™ Search Local,Minneapolis Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269141379
2,2,Minneapolis Middle Eastern restaurant,Middle Eastern Restaurant,Minneapolis middle-eastern food. Find local businesses on DexKnows. ,www.DexKnows.com,"Minneapolis, MN",1269141379
1,1,Colorado Springs Middle Eastern restaurant,Colorado Springs Restaurant,"Get Restaurant Phone Numbers, Maps, Prices &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269141390
1,1,Honolulu Middle Eastern restaurant,Bing ™ Search Local,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269141402
1,1,Arlington Middle Eastern restaurant,Bing™ Search Local,Arlington Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269141413
1,1,Vancouver Middle Eastern restaurant,Top Vancouver Restaurants,Enjoy Vancouver BC Restaurants. Award Winning Fare for All Tastes! ,HelloBC.com/VancouverDining,,1269141428
4,1,New York Comfort food,New York Weekly Deals,"Get 50-90% off the top restaurants, spas, &amp; entertainment. New weekly! ",www.BuyWithMe.com,"New York, NY",1269141484
4,2,New York Comfort food,&#39;21&#39; Club,Dine in the heart of Midtown at the famous &#39;21&#39; restaurant. Book online ,www.21club.com,"21 West 52nd Street, New York City, NY",1269141484
4,3,New York Comfort food,manhattan restaurant,"from VinDivine -Winery Reviews Too. Hip, Offbeat &amp; Honest - Live it Up! ",www.vindivine.com,"New York, NY",1269141484
4,4,New York Comfort food,Comfort Meal,Simple Homestyle Family Recipes. Search Pillsbury® - Home is Calling ,www.Pillsbury.com,,1269141484
1,1,Chicago Comfort food,Chicago Comfort Food,Find local american restaurants in the Chicago area. ,www.DexKnows.com,,1269141504
1,1,Phoenix Comfort food,Comfort Food Phoenix,Gallagher&#39;s- Sports Grill. Serious Food - Serious Fun. 6 Phx Locations ,www.GallaghersAZ.com,,1269141516
1,1,Jacksonville Comfort food,Comfort Inn® Jacksonville,Official site. Affordable hotel in Jacksonville Beach. Book now. ,www.ComfortInn.com/Florida,,1269141597
1,1,Seattle Comfort food,Seattle Food Delivery,Browse Local Restaurant Menus Order Your Food Online Now! ,Seattle.Eat24Hours.com,"Seattle, WA",1269141729
1,1,Virginia Beach Comfort food,Virginia Beach From $49,"All Oceanfront Rooms with Whirlpool Tub, Refrigerator and Microwave ",www.NewcastleHoteLvb.com,,1269141907
1,1,Oakland Comfort food,Oakland Restaurants,Oakland Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269141924
1,1,Raleigh Comfort food,Raleigh Comfort,Find Raleigh Comforts at Great Prices. ,www.Pronto.com,,1269141934
1,1,Vancouver Comfort food,Top Vancouver Restaurants,Enjoy Vancouver BC Restaurants. Award Winning Fare for All Tastes! ,HelloBC.com/VancouverDining,,1269141998
1,1,London Comfort food,London&#39;s Official Website,"Everything you need to plan, book and get the most from your vacation ",www.visitlondon.com,,1269142011
2,1,New York Mediterranean restaurant,Mediterranean Restaurants,Gaga For Grape Leaves? Ogle Olives? Citysearch-Your Cuisine Connection. ,newyork.Citysearch.com,"New York, NY",1269142052
2,2,New York Mediterranean restaurant,Belly Dancer Restaurant,Casa La Femme New York Romantic Middle Eastern Restaurant ,www.casalafemmeny.com,"New York, NY",1269142052
1,1,Los Angeles Mediterranean restaurant,Javan Restaurant,Persian Food In West Los Angeles Assorted Kabob Dishes ,www.Javanrestaurant.com,,1269142067
1,1,Chicago Mediterranean restaurant,Mediterranean Restaurant,"Enjoy Delicious Mediterranean Meals at Restaurants in Chicago, IL. ",www.LocalBizNOW.com,"Chicago, IL",1269142082
1,1,Houston Mediterranean restaurant,Santorini Greek Restauran,"Read reviews for this business with directions, special offers and more ",Houston.Citysearch.com,,1269142092
1,1,Dallas Mediterranean restaurant,Zagat Texas,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269142144
1,1,San Diego Mediterranean restaurant,Aladdin Restaurant,"Eat Healthy, Come to Aladdin! Fresh Mediterranean Cuisine ",AladdinCafe.com,5420 Clairemont Mesa Blvd #101,1269142151
2,1,San Jose Mediterranean restaurant,Antonella&#39;s Ristorante,"Local Hot Spot For Italian Cusine. Authentic Gourmet In San Jose, CA. ",www.antonellasristorante.com,"1701 Park Ave, San Jose, CA 95126",1269142165
2,2,San Jose Mediterranean restaurant,San Jose Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269142165
1,1,San Francisco Mediterranean restaurant,Layaly Mediterranean Rest,Read this Mediterranean Spot&#39;s reviews &amp; find more Restaurants ,Sanfrancisco.Citysearch.com,,1269142186
2,1,Jacksonville Mediterranean restaurant,Mediterranean Restaurants,Search Our Restaurants Listings For Mediterranean Cafes &amp; Delivery! ,yellowpages.com,"Jacksonville, FL",1269142199
2,2,Jacksonville Mediterranean restaurant,Restaurant Mediterranean,Find Restaurant Mediterranean in Local Directory! ,www.USdirectory.com,,1269142199
1,1,Indianapolis Mediterranean restaurant,Mediterranean Restaurants,Search Our Restaurants Listings For Mediterranean Cafes &amp; Delivery! ,yellowpages.com,"Indianapolis, IN",1269142507
1,1,Austin Mediterranean restaurant,Zagat Texas,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269142523
1,1,Charlotte Mediterranean restaurant,Mediterranean Restaurants,Search Our Restaurants Listings For Mediterranean Cafes &amp; Delivery! ,yellowpages.com,"Charlotte, NC",1269142559
1,1,Sacramento Mediterranean restaurant,Mediterranean Restaurants,Search Our Restaurants Listings For Mediterranean Cafes &amp; Delivery! ,yellowpages.com,"Sacramento-Stockton-Modesto, CA",1269146922
2,1,Long Beach Mediterranean restaurant,Long Beach Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269146930
2,2,Long Beach Mediterranean restaurant,Mediterranean Restaurants,Mediterranean Cafes &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"Long Beach, CA",1269146930
1,1,Kansas City Mediterranean restaurant,Mediterranean Restaurants,Mediterranean Cafes &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"Kansas City, MO",1269146947
1,1,Omaha Mediterranean restaurant,OmahaNightlife.com Dining,"Want Omaha Steak? Check here Dining, Restaurants, and more. ",omahanightlife.com,,1269146961
1,1,Cleveland Mediterranean restaurant,Restaurant Cleveland,"Cleveland OH Vacations, Restaurants Hotels, Events &amp; Meeting Planning. ",www.PositivelyCleveland.com,,1269146966
1,1,Virginia Beach Mediterranean restaurant,VA Beach Dining Deals,Sign Up For 1 Amazing Deal A Day On The Best Area Restaurants. 50% Off! ,www.Groupon.com/Virginia-Beach,"Norfolk-Portsmouth-Newport News,VA",1269146978
2,1,Miami Mediterranean restaurant,Steakhouse Miami,"Steaks, Seafood, Wine &amp; More. Call Now For Reservations. Miami. ",www.ChophouseMiami.com,,1269146992
2,2,Miami Mediterranean restaurant,Mediterranean Restaurants,Mediterranean Cafes &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"Miami-Ft. Lauderdale, FL",1269146992
5,1,Oakland Mediterranean restaurant,Improv Comedy Live,Fun and completely improvised 1 block from Luka&#39;s Uptown Oakland ,www.PanTheater.com,,1269147001
5,2,Oakland Mediterranean restaurant,Arriba Restaurant,Familiar food served with a fresh inspired Mediterranean twist. ,www.arribarestauranttoronto.com,,1269147001
5,3,Oakland Mediterranean restaurant,Oakland – Food Delivery,Direct Online Ordering Service Brings Your Favorite Restaurants ,Oakland.Eat24Hours.com,,1269147001
5,4,Oakland Mediterranean restaurant,Restaurant Recommendation,"At Larry&#39;s, we only reccommend the finest restaurants in California. ",www.AtLarrys.com,California,1269147001
5,5,Oakland Mediterranean restaurant,Oakland Food,"Order Delivery Online In Oakland. Search By Restaurant, Zip Or Map! ",www.GrubHub.com/Oakland,"Oakland, CA",1269147001
1,1,Raleigh Mediterranean restaurant,La Shish Middle Eastern,"Mediterranean Cuisine at its Finest Healthy, Fresh, &amp; Natural Eatery ",www.lashish.net,"908 Ne Maynard Rd, Cary, NC 27513",1269147014
1,1,Minneapolis Mediterranean restaurant,Mediterranean Restaurants,Mediterranean Cafes &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"Minneapolis-St. Paul, MN",1269147037
1,1,Honolulu Mediterranean restaurant,Honolulu Restaurants,Free Guide to Oahu Restaurants Browse by Area or Cuisine ,WhereTraveler.com/Oahu,,1269147051
1,1,Vancouver Mediterranean restaurant,Vancouver Restaurants,Outline of Restaurants in Vancouver Visit the Official Tourism BC Site! ,HelloBC.com/VancouverDining,,1269147071
1,1,London Mediterranean restaurant,London restaurant,Guides and listings for every taste from London’s Official Website. ,www.visitlondon.com,,1269147079
1,1,Sydney Mediterranean restaurant,Bitar&#39;s,you&#39;ll be thrilled with the quality and value of our award-winning food ,www.bitars.com,"947 Federal St, Philadelphia, PA 19147",1269147105
2,1,New York French restaurant,New York French Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269147126
2,2,New York French restaurant,Manhattan Funeral Homes,"Phone, Contact Name, Street Address Get consumer ratings too - all free ",Otrib.com,,1269147126
2,1,Los Angeles French restaurant,Bing™ Search Local,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269147131
2,2,Los Angeles French restaurant,French Restaurants,Look for Top-rated French Restaurant near you with our Rating ,losangeles.Citysearch.com,"Los Angeles, CA",1269147131
2,1,Chicago French restaurant,French Food,Plan ahead &amp; enjoy a great French dish! See our local lists. ,Yellowbook.com,,1269147140
2,2,Chicago French restaurant,Eating in Chicago,Adventures in Urban Eating Dolinsky covers it all ,blogs.vocalo.org,,1269147140
2,1,Houston French restaurant,Houston French Restaurant,Houston Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147153
2,2,Houston French restaurant,French Restaurants,Look for Top-rated French Restaurant near you with our Rating ,houston.Citysearch.com,"Houston, TX",1269147153
1,1,Phoenix French restaurant,French Food,Plan ahead &amp; enjoy a great French dish! See our local lists. ,Yellowbook.com,,1269147160
1,1,Philadelphia French restaurant, Zagat Philly,Find The Perfect Romantic Restaurant at Zagat.com! ,www.zagat.com,"Philadelphia, PA",1269147172
2,1,San Antonio French restaurant,San Antonio Restaurants,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147178
2,2,San Antonio French restaurant,Zagat Texas,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269147178
1,1,Dallas French restaurant,Bing™ Search Local,Dallas Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147188
2,1,San Diego French restaurant,San Diego French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147199
2,2,San Diego French restaurant,Zagat San Diego,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,"San Diego, CA",1269147199
2,1,San Jose French restaurant,Antonella&#39;s Ristorante,"Local Hot Spot For Italian Cusine. Authentic Gourmet In San Jose, CA. ",www.antonellasristorante.com,"1701 Park Ave, San Jose, CA 95126",1269147204
2,2,San Jose French restaurant,French Restaurants,From Bagette To Beef Bourguignon. Local Listings For French Food! ,SiliconValley.Citysearch.com,,1269147204
1,1,Detroit French restaurant,Detroit French Restaurant,Detroit Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147217
3,1,San Francisco French restaurant,French Restaurant,Café Claude - A French Restaurant Fantastic Food At Reasonable Prices ,www.cafeclaude.com,"San Francisco, CA",1269147231
3,2,San Francisco French restaurant,San Francisco French,French Menus Available Here With User Reviews. Simple and Free! ,www.MenuPages.com,"San Francisco, CA",1269147231
3,3,San Francisco French restaurant, Zagat San Fran,Find The Perfect Romantic Restaurant at Zagat.com! ,www.zagat.com,"San Francisco-Oakland-San Jose, CA",1269147231
1,1,Jacksonville French restaurant,French Restaurants,Search Our Restaurants Listings For French Diners &amp; Cafes Near You! ,yellowpages.com,"Jacksonville, FL",1269147243
2,1,Indianapolis French restaurant,French Food,Plan ahead &amp; enjoy a great French dish! See our local lists. ,Yellowbook.com,,1269147252
2,2,Indianapolis French restaurant,Indianapolis Restaurants,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147252
2,1,Austin French restaurant,Austin French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147266
2,2,Austin French restaurant,Austin French Restaurant,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269147266
1,1,Columbus French restaurant,Columbus French Restaurant,Columbus Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147279
1,1,Fort Worth French restaurant,Fort Worth French Restaurant,Fort Worth Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147291
1,1,Charlotte French restaurant,Charlotte French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269147305
1,1,Memphis French restaurant,Memphis French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269147311
1,1,Baltimore French restaurant,Baltimore French Restaurant,Baltimore Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147323
3,1,Boston French restaurant,Boston French Restaurant,Enjoy Delicious French Cuisine At The Brasserie Jo In Boston! ,BrasserieJoBoston.com,,1269147336
3,2,Boston French restaurant,Boston French Restaurant,Find The Perfect Romantic Restaurant at Zagat.com! ,www.zagat.com,"Boston, MA-Manchester, NH",1269147336
3,3,Boston French restaurant,French Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269147336
1,1,El Paso French restaurant,El Paso French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147342
1,1,Milwaukee French restaurant,Milwaukee French Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269147355
1,1,Denver French restaurant,Denver Dining,Looking for authentic French food? Review our local restaurant lists. ,Yellowbook.com,,1269147365
1,1,Seattle French restaurant,French Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269147370
1,1,Nashville French restaurant,Nashville French Restaurant,Nashville Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147381
1,1,Washington French restaurant,washington french restaurant,"La Madeleine: enjoy a tasty, fresh and traditional French meal ! ",www.groupeleduff.com/restaurants,,1269147386
1,1,Las Vegas French restaurant,French Food,Plan ahead &amp; enjoy a great French dish! See our local lists. ,Yellowbook.com,,1269147395
1,1,Louisville French restaurant,Louisville French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147418
1,1,Oklahoma City French restaurant,Bing™ Search Local,Oklahoma Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147430
1,1,Tucson French restaurant,Tucson French Restaurant,Tucson Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147438
1,1,Atlanta French restaurant,Atlanta French Restaurant,Atlanta Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147445
2,1,Albuquerque French restaurant,Bing ™ Search Local,Albuquerque Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147459
2,2,Albuquerque French restaurant,French Restaurants,Albuquerque french restaurants. Find local businesses on DexKnows. ,www.DexKnows.com,New Mexico,1269147459
1,1,Fresno French restaurant,Fresno French Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269147472
1,1,Sacramento French restaurant,Sacramento French Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269147478
1,1,Long Beach French restaurant,Long Beach Restaurants,Find listings &amp; reviews for top restaurants in Long Beach. ,yellowpages.com,"Long Beach, CA",1269147489
1,1,Mesa French restaurant,Mesa French Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269147503
1,1,Kansas City French restaurant,Kansas City French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147515
1,1,Omaha French restaurant,French Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269147524
2,1,Cleveland French restaurant,Cleveland French Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269147538
2,2,Cleveland French restaurant,Cleveland Food Podcast,Restaurant critic Doug Trattner gives you the scoop on OA. ,www.OhioAuthority.com,"Cleveland, OH",1269147538
1,1,Virginia Beach French restaurant,Bing ™ Search Local,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269147544
2,1,Miami French restaurant,Grimpa Steakhouse,Premium beef. Premium taste. 305.455.4757 ,www.grimpa.com,"901 Brickell Plaza, Miami, FL 33130",1269147550
2,2,Miami French restaurant,French Restaurant Miami,The Fun &amp; Easy Way to Find French Restaurant Miami at Low Prices ,www.Gifts.com,,1269147550
1,1,Oakland French restaurant,Oakland French Restaurant,Oakland Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147565
1,1,Raleigh French restaurant,Margaux&#39;s Restaurant,"Lunch, dinner, gourmet desserts See our menu online. ",MargauxsRestaurant.com,"8111 Creedmoor Rd # 111, Raleigh, NC",1269147575
1,1,Tulsa French restaurant,Tulsa French Restaurant,Tulsa Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147583
2,1,Minneapolis French restaurant,French Restaurants,Find local french restaurants in the Minneapolis area. ,www.DexKnows.com,,1269147592
2,2,Minneapolis French restaurant,French Food,Plan ahead &amp; enjoy a great French dish! See our local lists. ,Yellowbook.com,,1269147592
2,1,Colorado Springs French restaurant,French in the Springs,Learn French in Colorado Springs Small classes and Private Lessons ,www.frenchinthesprings.com,"612 Hilltop Drive, Colorado Springs, CO",1269147599
2,2,Colorado Springs French restaurant,Local Colorado Springs,"Get Restaurant Phone Numbers, Maps, Prices &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147599
1,1,Honolulu French restaurant,Honolulu Restaurants,Free Guide to Oahu Restaurants Browse by Area or Cuisine ,WhereTraveler.com/Oahu,,1269147607
1,1,Arlington French restaurant,Arlington French Restaurant,Arlington Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147627
1,1,London French restaurant,French london restaurant,Guides and listings for every taste from London’s Official Website. ,www.visitlondon.com,,1269147652
2,1,New York Greek restaurant,New York Greek Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269147696
2,2,New York Greek restaurant,New York Greek Restaurant,Greek restaurants New York City. Recommendations &amp; special offers. ,www.MenuPalace.com,,1269147696
1,1,Los Angeles Greek restaurant,Greek Restaurants,View Menus and Reviews from Locals. Search by Cuisine or Features Now. ,www.MenuPages.com,"Los Angeles, CA",1269147704
1,1,Chicago Greek restaurant,Chicago Greek Restaurant,Chicago Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147712
1,1,Houston Greek restaurant,Houston Local Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147972
1,1,Phoenix Greek restaurant,Phoenix Greek Restaurant,Phoenix Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147983
1,1,Philadelphia Greek restaurant,Philadelphia Greek Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269147993
1,1,San Diego Greek restaurant,San Diego Greek Restaurant,San Diego Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148026
1,1,San Jose Greek restaurant,San Jose Greek Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269148038
1,1,Detroit Greek restaurant,Detroit Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148053
1,1,San Francisco Greek restaurant,Greek Restaurants,View Menus and Reviews from Locals. Search by Cuisine or Features Now. ,www.MenuPages.com,"San Francisco, CA",1269148063
1,1,Jacksonville Greek restaurant,Jacksonville Greek Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269148069
1,1,Indianapolis Greek restaurant,Indianapolis Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148083
1,1,Austin Greek restaurant,Austin Greek Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269148091
1,1,Columbus Greek restaurant,Columbus Greek Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269148097
2,1,Fort Worth Greek restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269148103
2,2,Fort Worth Greek restaurant,Fort Worth Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148103
1,1,Charlotte Greek restaurant,Charlotte Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148109
1,1,Memphis Greek restaurant,Memphis Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148114
1,1,Baltimore Greek restaurant,Baltimore Greek Restaurant,Baltimore Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148121
1,1,Boston Greek restaurant,Greek Restaurants Menu,"Order Delivery Or Take Out Greek Food In Boston, Massachusetts ",www.AllMenus.com,"Boston, MA",1269148136
1,1,El Paso Greek restaurant,El Paso Restaurants,Read Listings &amp; Reviews Of Local Restaurants at Superpages ,www.superpages.com,,1269148146
1,1,Milwaukee Greek restaurant,Milwaukee Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148159
1,1,Denver Greek restaurant,Denver Greek Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269148166
1,1,Seattle Greek restaurant,Seattle Greek Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269148180
1,1,Las Vegas Greek restaurant,Las Vegas Greek Restaurant,Las Vegas Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148218
1,1,Portland Greek restaurant,Portland Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148230
1,1,Louisville Greek restaurant,Louisville Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148238
2,1,Oklahoma City Greek restaurant,Bing ™ Search Local,Oklahoma City Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148250
2,2,Oklahoma City Greek restaurant,Restaurants,"Oklahoma Restaurants Location, Menu, Pricing ",www.wimgo.com,,1269148250
