No. Of Ads,Ranking,rank/ads,Target,Keywords,Header,Text,URL,Location,Timestamp
2,1,0.5,1,El Paso Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053296
3,1,0.333333333,1,Houston Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053107
2,1,0.5,1,Indianapolis Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053198
2,1,0.5,1,Long Beach Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053443
2,1,0.5,1,Los Angeles Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053087
2,1,0.5,1,Louisville Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053383
4,4,1,0,Memphis Korean restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269050909
2,1,0.5,1,Memphis Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054173
2,1,0.5,1,Memphis Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053259
3,1,0.333333333,1,Milwaukee Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054213
3,1,0.333333333,1,New York Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053082
2,1,0.5,1,Oakland Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054424
2,1,0.5,1,Oakland Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053511
2,1,0.5,1,Oklahoma City Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054298
2,1,0.5,1,Philadelphia Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053126
2,1,0.5,1,Phoenix Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053657
3,1,0.333333333,1,Phoenix Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053121
2,1,0.5,1,Raleigh Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054435
2,2,1,0,Raleigh Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053519
3,1,0.333333333,1,Sacramento fine dining restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269153679
2,1,0.5,1,Sacramento Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053438
2,1,0.5,1,Tucson Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053397
2,1,0.5,1,Vancouver Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053570
2,2,1,0,Virginia Beach fine dining restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,"Virginia Beach, VA",1269153746
2,1,0.5,1,Virginia Beach Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053490
3,1,0.333333333,1,Washington fine dining restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269153593
4,4,1,0,Kansas City Mexican restaurant,Makers Mark Bourbon House,Enjoy A Delicious Steak And Bourbon Downtown KC. Come For Happy Hour! ,www.MakersMarkRestaurant.com,"Kansas City, MO",1269152941
3,3,1,0,Los Angeles Indian restaurant,Los Angeles Indian Restaurant,Enjoy A Traditional Indian Meal At Our Restaurant. See Menu Online. ,www.IndiasTandooriLax.net,,1269055890
3,3,1,0,Raleigh best restaurant,Perkins Family Restaurant,"Enjoy All Day Breakfast And Fresh, Homemade Pies from Perkins! ",www.PerkinsRestaurants.com,,1269155987
3,2,0.666666667,1,San Jose Vegan restaurant,Top Vegetarian Restaurant,Enjoy Amazing Cuisine w/Views of Golden Gate. Reserve Online Now! ,greensrestaurant.com,"San Francisco-Oakland-San Jose, CA",1269055386
2,2,1,0,San Jose Vegetarian restaurant,Top Vegetarian Restaurant,Enjoy Amazing Cuisine w/Views of Golden Gate. Reserve Online Now! ,greensrestaurant.com,"San Francisco-Oakland-San Jose, CA",1269054620
3,2,0.666666667,1,Sacramento Japanese restaurant,Gourmet Sushi Sacramento,Enjoy Daily Roll &amp; Drink Specials Right Off Highway 50! ,SamuraiSushi1.com/,California,1269052870
3,1,0.333333333,1,Boston French restaurant,Boston French Restaurant,Enjoy Delicious French Cuisine At The Brasserie Jo In Boston! ,BrasserieJoBoston.com,,1269147336
4,3,0.75,0,San Diego fine dining restaurant,Bistro West Restaurant,Enjoy Fresh Dishes &amp; Ingredients. Join Us For Dinner and Happy Hour. ,www.bistrowest.com,,1269153419
3,1,0.333333333,1,Austin Steak restaurant,Roy&#39;s Hawaiian Fusion,Enjoy Hawaiian fine dining in Austin. Reserve your table today. ,RoysRestaurant.com,"Austin, TX",1269054143
2,1,0.5,1,Baltimore best restaurant,Roy&#39;s Hawaiian Fusion,Enjoy Hawaiian fine dining in Baltimore. Reserve your table. ,RoysRestaurant.com,"Baltimore, MD",1269155463
2,1,0.5,1,Jacksonville Steakhouse restaurant,Roy&#39;s Hawaiian Fusion,Enjoy Hawaiian fine dining in Jacksonville. Reserve your table. ,RoysRestaurant.com,"Jacksonville, FL",1269053193
2,1,0.5,1,San Antonio Mexican restaurant,Jacala Mexican Restaurant,Enjoy South-of-the-Border Favorites in San Antonio-Jacala Restaurant. ,Jacala.com,"606 W Avenue, San Antonio, TX",1269152614
2,1,0.5,1,Memphis Mexican restaurant,Mexican Restaurant,Enjoy Tasty Fajitas and Enchiladas At Rio Loco in Memphis. See Coupon. ,RioLocoMemphis.com,"Memphis, TN",1269152747
2,2,1,0,Dallas best restaurant,Fearing&#39;s of Dallas,Enjoy the Innovative Menu From the 2008 Restaurant of the Year ,www.RitzCarlton.com/Dallas,,1269155338
2,1,0.5,1,Louisville Bar restaurant,Downtown Louisville Bar,Exceptional Ambiance &amp; Culinary Expertise. Let Your Night Begin! ,MakersLounge.com,"446 South 4th Street, Louisville, KY",1269132658
4,4,1,0,Chicago romantic restaurant,Romantic Restaurant,Exclusive Wine Tasting in Chicago. Call Us Today. ,www.salutewinebars.com,"Chicago, IL",1269153906
2,1,0.5,1,Albuquerque Brazilian steakhouse,Authentic Brazilian Steak,Experience a fun festive atmosphere Lunch for $12.95 &amp; Dine for $19.95! ,Tucanos.com/Steakhouse,"Albuquerque-Santa Fe, NM",1269150409
4,2,0.5,1,New York Italian restaurant,Top Italian Restaurants,Experience Award Winning Food-Wine Excellent Food View Menu Here! ,www.CafeOnTheGreenRestaurant.com,"New York, NY",1269048685
4,2,0.5,1,San Diego Italian restaurant,The Sofia Hotel San Diego,Experience Award-Winning Value Boutique Hotel Near Gaslamp ,www.thesofiahotel.com,,1269048778
2,1,0.5,1,Miami Chinese restaurant,Philippe Chow Miami,Experience Exquisite Asian Fare. At the Gansevoort S. Hotel. Miami. ,www.PhilippeChow.com,"2305 Collins Ave., Miami, FL 33139",1269050585
2,1,0.5,1,Chicago Middle Eastern restaurant,Middle Eastern Food,"falafel hummos shawarma kabobs Quality for less, cater and deliver ",www.jerusalemcafe-oakpark.com,"1030 Lake St, Oak Park, IL 60301",1269140536
5,2,0.4,1,Oakland Mediterranean restaurant,Arriba Restaurant,Familiar food served with a fresh inspired Mediterranean twist. ,www.arribarestauranttoronto.com,,1269147001
3,3,1,0,Cleveland best restaurant,Best Restaurant,Family Dining &amp; Brunch Restaurant. Reasonable Prices. Check Menu Out! ,www.rjbolands.com,"724 Prospect Ave, Cleveland, 44115",1269155937
2,1,0.5,1,Arlington fine dining restaurant,#1 Arlington Restaurant,Famous for Fresh Local Ingredients Served in The Heart Of Clarendon. ,www.HarrysTapRoom.com,,1269153820
4,4,1,0,Philadelphia romantic restaurant,Philly Date Restaurants,Find a Place That You&#39;ll Both Actually Like with Thrillist. ,Thrillist.com,"Philadelphia, PA",1269153937
4,3,0.75,0,New York Italian restaurant,Italian Restaurant New York,Find Italian Restaurant New Yorks at Great Prices. ,www.Pronto.com,,1269048685
2,2,1,0,Miami best restaurant,Restaurants in Miami,Find Out About New Spots - But Only The Good Ones with Thrillist Emails ,Thrillist.com,"Miami-Ft. Lauderdale, FL",1269155961
4,2,0.5,1,Portland best restaurant,Portland Restaurants,"Find Portland&#39;s Best Restaurants- Search by Cuisine, Location &amp; Price ",www.LivePDX.com,"Portland, OR",1269155561
2,2,1,0,San Diego Chinese restaurant,Chinese Restaurant San Diego,Find Restaurants in San Diego Using SDNN&#39;s Local Directory ,www.SDNN.com/restaurants,"San Diego, CA",1269050222
4,4,1,0,San Diego fine dining restaurant,Restaurant Directory,Find Restaurants in San Diego Using SDNN&#39;s Local Directory ,www.SDNN.com/restaurants,"San Diego, CA",1269153419
2,1,0.5,1,San Diego Sushi restaurant,Sushi Restaurant San Diego,Find Restaurants in San Diego Using SDNN&#39;s Local Directory ,www.SDNN.com/restaurants,"San Diego, CA",1269051639
3,3,1,0,Philadelphia best restaurant,Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1269155323
2,2,1,0,Las Vegas fine dining restaurant,Top Las Vegas Restaurants,Find your next five-star favorite: discover Las Vegas fine dining! ,www.TravelsInTaste.com,,1269153599
3,3,1,0,Minneapolis fine dining restaurant,WA Frost and Company,"Fine American Cuisine, Bar/Lounge. Award-Winning Wine List. St. Paul. ",www.WAFrost.com,,1269153795
3,2,0.666666667,1,Minneapolis romantic restaurant,WA Frost and Company,"Fine American Cuisine, Bar/Lounge. Award-Winning Wine List. St. Paul. ",www.WAFrost.com,,1269154663
2,2,1,0,Minneapolis Steak restaurant,WA Frost &amp; Company,"Fine American Cuisine, Bar/Lounge. Award-Winning Wine List. St. Paul. ",www.WAFrost.com,"374 Selby Avenue, St Paul, MN 55102",1269054460
2,1,0.5,1,London fine dining restaurant,Fine Dining Restaurant,Fine Dining at Penn&#39;s Landing. Unique Waterfront and City Views. ,www.Moshulu.com,"Philadelphia, PA",1269153842
2,1,0.5,1,Mesa fine dining restaurant,Fine Dining Restaurant,Fine Dining at Penn&#39;s Landing. Unique Waterfront and City Views. ,www.Moshulu.com,"Philadelphia, PA",1269153703
3,3,1,0,Mesa romantic restaurant,Romantic Restaurant,Fine Dining at Penn&#39;s Landing. Unique Waterfront and City Views. ,www.Moshulu.com,"Philadelphia, PA",1269154237
4,3,0.75,0,Philadelphia fine dining restaurant,Moshulu,Fine Dining at Penn&#39;s Landing. Unique Waterfront and City Views. ,www.Moshulu.com,"401 S. Columbus Blvd., Philadelphia, PA",1269153389
4,2,0.5,1,Philadelphia romantic restaurant,Moshulu,Fine Dining at Penn&#39;s Landing. Unique Waterfront and City Views. ,www.Moshulu.com,"401 S. Columbus Blvd., Philadelphia, PA",1269153937
3,1,0.333333333,1,Philadelphia Steak restaurant,Moshulu - Philadelphia PA,Fine Dining at Penn&#39;s Landing. Unique Waterfront and City Views. ,www.Moshulu.com,,1269053668
3,1,0.333333333,1,Vancouver fine dining restaurant,Fine Dining Restaurant,Fine Dining at Penn&#39;s Landing. Unique Waterfront and City Views. ,www.Moshulu.com,"Philadelphia, PA",1269153830
2,1,0.5,1,San Francisco Steakhouse restaurant,Ruth&#39;s Chris Steak House,Fine Dining at Ruth&#39;s Chris Easy online reservations. ,www.RuthsChris.com,,1269053185
4,4,1,0,Colorado Springs fine dining restaurant,The Melting Pot,Fine Dining In Colorado Springs For Any Special Occassion. Call Today. ,www.MeltingPot.com,,1269153807
3,3,1,0,Colorado Springs romantic restaurant,The Melting Pot,Fine Dining In Colorado Springs For Any Special Occassion. Call Today. ,www.MeltingPot.com,,1269154675
4,2,0.5,1,Philadelphia fine dining restaurant,Philadelphia Fine Dining,Fine dining in Philadelphia at the Lacroix Restaurant. Reserve now! ,www.LacroixRestaurant.com,,1269153389
3,1,0.333333333,1,Philadelphia Chinese restaurant,Spice Indian Thai Bistro,Fine Dining Restaurant Authentic Indian and Thai Cuisine ,www.spicebyob.com,"Philadelphia, PA",1269050185
2,1,0.5,1,Philadelphia Thai restaurant,Spice Indian Thai Bistro,Fine Dining Restaurant Authentic Indian and Thai Cuisine ,www.spicebyob.com,"Philadelphia, PA",1269049461
4,3,0.75,0,San Francisco Italian restaurant,italian restaurant,Fine Italian Cuisine &amp; Dining San Francisco Style Pizzeria ,ItsItaliaRestaurant.AdzZoo.com,,1269048813
4,1,0.25,1,Miami fine dining restaurant,Il Gabbiano Restaurant,Fine Italian Cuisine in Miami Best Restaurant 2009 ,www.ilgabbianomia.com,"Miami-Ft. Lauderdale, FL",1269153755
2,1,0.5,1,Boston Sushi restaurant,Sushi-Teq Boston,Flavorful Sushi. Specialty Drinks. Intoxicating Mix of Sushi &amp; Salsa. ,www.InterContinentalBoston2010.com,,1269051767
2,1,0.5,1,Albuquerque romantic restaurant,Fleming&#39;s Makes Memories,"Fleming&#39;s is the perfect dining spot for an elegant, romantic date. ",www.FlemingsSteakhouse.com,,1269154196
3,1,0.333333333,1,Colorado Springs romantic restaurant,Fleming&#39;s Makes Memories,"Fleming&#39;s is the perfect dining spot for an elegant, romantic date. ",www.FlemingsSteakhouse.com,,1269154675
2,1,0.5,1,El Paso romantic restaurant,Fleming&#39;s Makes Memories,"Fleming&#39;s is the perfect dining spot for an elegant, romantic date. ",www.FlemingsSteakhouse.com,,1269154077
2,1,0.5,1,Sacramento romantic restaurant,Fleming&#39;s Makes Memories,"Fleming&#39;s is the perfect dining spot for an elegant, romantic date. ",www.FlemingsSteakhouse.com,,1269154212
3,1,0.333333333,1,San Antonio fine dining restaurant,Melting Pot - San Antonio,"Fondue, Fine Wine, Fun, Birthdays. Dip Into Romantic Fondue Specials. ",www.meltingpot.com,,1269153402
2,2,1,0,San Antonio Vegetarian restaurant,Melting Pot - San Antonio,"Fondue, Fine Wine. Fun, Romantic. Weddings, Birthdays, Celebrations. ",www.meltingpot.com,,1269054592
3,2,0.666666667,1,Colorado Springs romantic restaurant,Tajine Alami Restaurant,Four &amp; Six Course Moroccan Feasts &amp; Belly Dancing in Manitou Springs. ,www.tajinealami.com,Colorado,1269154675
2,1,0.5,1,Minneapolis Chinese restaurant,Chinese Restaurant,Fresh Ingredients &amp; Amazing Staff. Visit Us For A Lifetime Experience! ,DavidFongs.com/ChineseRestaurant,"Minneapolis-St. Paul, MN",1269050622
3,1,0.333333333,1,Dallas Japanese restaurant,Japanese Restaurant,"Fresh Sushi, Steaks and Sake. Across from Galleria Mall in Dallas ",www.Hibashi.com,,1269052200
4,1,0.25,1,Kansas City Italian restaurant,Italian Restaurant - KC,"Fresh, Authentic Italian Dining Pasta, Pizza, Salads, Breads &amp; More ",Cupinis.AdzZoo.com,"1809 Westport Road, Kansas City, MO",1269049091
4,4,1,0,Portland best restaurant,Seres Restaurant and Bar,"Fresh, Organic Chinese Cuisine Healthy, sustainable ingredients ",www.seresrestaurant.com,"Portland, OR",1269155561
2,2,1,0,Milwaukee Vegetarian restaurant,Wasabi Sake Lounge,Freshest Fish Finest Ingredients Come See Why We Are #1 ,www.WasbiSakeLounge.com,"Milwaukee, WI",1269054742
4,3,0.75,0,New York Comfort food,manhattan restaurant,"from VinDivine -Winery Reviews Too. Hip, Offbeat &amp; Honest - Live it Up! ",www.vindivine.com,"New York, NY",1269141484
3,1,0.333333333,1,Sacramento Sushi restaurant,sushi restaurant,"Full Bar, Lunch Specials &amp; Take Out Japanese Restaurant &amp; Sushi Bar ",MegamiBento-YaRestaurant.AdzZoo.com,"Sacramento, CA",1269051905
5,1,0.2,1,Oakland Mediterranean restaurant,Improv Comedy Live,Fun and completely improvised 1 block from Luka&#39;s Uptown Oakland ,www.PanTheater.com,,1269147001
3,2,0.666666667,1,Los Angeles Wine Bar restaurant,Hip wine tasting in LA,"Funky, fun wine tasting &amp; classes for all levels of winos! ",www.citysipla.com,"Los Angeles, CA",1269132929
2,1,0.5,1,San Francisco Indian restaurant,Great Indian Food in SF,Gaylord India Restaurant at One Embarcadero Center Open 7 days ,www.sfgaylords.com,,1269055997
2,2,1,0,Fort Worth Steakhouse restaurant,Fort Worth Steakhouse,"Genuine Texas Cuisine &amp; Spectacular Service at our Ranch in Graham, TX. ",www.WildcatterRanch.com,"Dallas-Ft. Worth, TX",1269053232
2,2,1,0,Atlanta Japanese restaurant,Benihana in Georgia,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052841
3,2,0.666666667,1,Charlotte fine dining restaurant,Benihana Steakhouse,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269153522
4,1,0.25,1,Chicago fine dining restaurant,Benihana Steakhouse,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269153352
2,2,1,0,Columbus Japanese restaurant,Benihana in Ohio,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052279
2,1,0.5,1,Long Beach fine dining restaurant,Benihana Steakhouse,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269153694
2,2,1,0,Memphis Japanese restaurant,Benihana in Tennessee,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052309
2,2,1,0,Miami Japanese restaurant,Benihana in Florida,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052937
3,2,0.666666667,1,New York Japanese restaurant,Benihana in New York,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052130
4,1,0.25,1,Philadelphia fine dining restaurant,Benihana Steakhouse,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269153389
2,1,0.5,1,Phoenix fine dining restaurant,Benihana Steakhouse,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269153375
3,3,1,0,San Diego Japanese restaurant,Benihana in California,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052214
4,4,1,0,San Francisco Japanese restaurant,Benihana in California,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052242
4,2,0.5,1,San Jose fine dining restaurant,Benihana Steakhouse,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269153434
4,4,1,0,San Francisco Thai restaurant,Thai restaurants in SF,"Get Thai restaurant recommendations and pictures in San Francisco, CA ",www.tastebudd.com,,1269049521
4,1,0.25,1,San Diego Steak restaurant,West Steakhouse &amp; Seafood,Get The Best Steak In San Diego. Dinner &amp; Happy Hour Specials Avail. ,www.weststeakandseafood.com,,1269053699
3,3,1,0,Austin romantic restaurant,Austin Date Restaurants,Go to Date Spots that Don&#39;t Suck Get Thrillist Free Daily Emails ,Thrillist.com,"Austin, TX",1269154015
3,3,1,0,Miami romantic restaurant,Miami Date Restaurants,Go to Date Spots that Don&#39;t Suck Get Thrillist Free Daily Emails ,Thrillist.com,"Miami-Ft. Lauderdale, FL",1269154289
2,1,0.5,1,Boston Japanese restaurant,sushi restaurant boston,Good decent sushi GREAT selection Best selections in the Boston ,www.villagesushiandgrill.com,"Boston, MA-Manchester, NH",1269052329
3,1,0.333333333,1,Virginia Beach best restaurant,4 Star Dining in Virginia,Gourmet French Cuisine and Luxury Suites at our Virginia Country Inn. ,www.LaubergeProvencale.com,,1269155949
2,1,0.5,1,Austin Italian restaurant,Cannoli Joe&#39;s - Italian,Gourmet Italian Food Fantastic Weekend Brunch ,www.cannolijoes.com,"Austin, TX",1269048846
3,3,1,0,Denver best restaurant,Corner Bakery Cafe,Grand Opening in SouthGlenn Breakfast Lunch Dinner! ,www.CornerBakeryCafe.com,,1269155508
2,2,1,0,Long Beach Italian restaurant,Canaletto Ristorante,Great Authentic Italian Food at Fashion Island. $5 Happy Hour! ,ILFornaio.com/Canaletto,,1269049079
2,1,0.5,1,San Antonio Bar restaurant,Restaurant Bar,Great Specials Every Day. Visit Houlihan&#39;s Today. ,Houlihans.com/Specials,,1269132428
3,2,0.666666667,1,Philadelphia Sushi restaurant,Swanky Bubbles,"Great Sushi &amp; Champagne Bar Call 215-928-1200, Make Reservation ",www.SwankyBubbles.com,"10 S Front St, Philadelphia, PA 19106",1269051612
3,1,0.333333333,1,Raleigh romantic restaurant,Spartacus Restaurant,"Greek &amp; Mediterranean in Durham. Steaks, Seafood, Pasta &amp; Full Bar. ",www.SpartacusRestaurant.com,"Raleigh-Durham (Fayetteville), NC",1269154646
2,2,1,0,Oakland Greek restaurant,Pappas Restaurant,"Greek Restaurant Serving Breakfast, Lunch and Dinner! Established 1989. ",PappasRestaurantCa.com,"1654 E 2nd Street, Benicia, CA 94510-2841",1269148380
2,1,0.5,1,Fort Worth Irish bar restaurant,Restaurant bar,"Happy Hour All Day - Everyday Wings, Burgers, Wraps and Salads ",BoomerjacksGrillandBar.AdzZoo.com,"Ft Worth, TX",1269133984
4,1,0.25,1,Chicago romantic restaurant,Roy&#39;s Restaurant,Hawaiian fusion cuisine in Chicago. Easy online reservations. ,RoysRestaurant.com,"Chicago, IL",1269153906
3,1,0.333333333,1,Washington romantic restaurant,Washington Romantic,"Hotel Package Offers Champagne, Massage, Breakfast. Start at $225. ",PepperTreeOmak.com/Romance,,1269154125
3,3,1,0,Philadelphia Irish bar restaurant,Irish Pub in Philadelphia,Irish Saloon &amp; Restaurant Come Join Us For Great Food and Drinks Daily ,McFaddensPhilly.com,"461 North 3rd St, Philadelphia, PA 191123",1269133852
3,1,0.333333333,1,Philadelphia Italian restaurant,Panorama Ristorante,Italian Cuisine. World&#39;s Largest Wine Bar 120 Wines By Glass Phila. ,www.panoramaristorante.com,"14 N Front Street, Philadelphia, PA 19106",1269048739
4,2,0.5,1,Miami fine dining restaurant,Sci Sci Brickell,Italian Restaurant lunch for $11.95 Happy Hour 2 for 1. ,www.sciscigroup.com,"Miami, FL",1269153755
2,1,0.5,1,San Jose Sushi restaurant,San Jose Sushi Restaurant,Japanese Cuisine Cooked Before Your Eyes. Come for Food and Fun! ,www.kyotopalace.biz,"San Francisco-Oakland-San Jose, CA",1269051654
4,4,1,0,Kansas City Italian restaurant,Creative Catering by V&#39;s,"Kansas City&#39;s Premier Caterer for Weddings, Corporate Events and More ",www.VsRestaurant.com,"Kansas City, MO",1269049091
2,2,1,0,Chicago Mexican restaurant,Mexican Fine Dining,Las Cazuelas Mexican Restaurant Authentic Mexican Food ,www.lascazuelaschicago.com,Illinois,1269152562
3,1,0.333333333,1,Las Vegas Italian restaurant,IL Fornaio on the Strip,Las Vegas&#39;s Authentic Italian Food. New York-New York Hotel &amp; Casino. ,www.ILFornaio.com/LasVegas,"Las Vegas, NV",1269048992
2,1,0.5,1,Colorado Springs French restaurant,French in the Springs,Learn French in Colorado Springs Small classes and Private Lessons ,www.frenchinthesprings.com,"612 Hilltop Drive, Colorado Springs, CO",1269147599
5,1,0.2,1,Oakland Bar restaurant,Improv Theater Shows,Live Improv Theater Shows - Oakland Tickets $10 One Block from BART ,www.PanTheater.com,,1269132791
4,3,0.75,0,San Jose fine dining restaurant,Antonella&#39;s Ristorante,"Local Hot Spot For Italian Cusine. Authentic Gourmet In San Jose, CA. ",www.antonellasristorante.com,"1701 Park Ave, San Jose, CA 95126",1269153434
2,1,0.5,1,San Jose French restaurant,Antonella&#39;s Ristorante,"Local Hot Spot For Italian Cusine. Authentic Gourmet In San Jose, CA. ",www.antonellasristorante.com,"1701 Park Ave, San Jose, CA 95126",1269147204
2,1,0.5,1,San Jose Mediterranean restaurant,Antonella&#39;s Ristorante,"Local Hot Spot For Italian Cusine. Authentic Gourmet In San Jose, CA. ",www.antonellasristorante.com,"1701 Park Ave, San Jose, CA 95126",1269142165
4,4,1,0,San Francisco best restaurant,Award-winning food blog,Looking for SF Bay restaurants? New recipes? Check us out! ,www.KQED.org/BayAreaBites,"San Francisco-Oakland-San Jose, CA",1269155379
2,2,1,0,Atlanta Vegetarian restaurant,Atlanta Korean Restaurant,Love Authentic Asian Cuisine? Visit Us Today To Dine On Delicious Food! ,HaeWoonDaeBbq.com,,1269054839
2,1,0.5,1,Raleigh Tapas restaurant,Margaux&#39;s Restaurant,"Lunch, dinner, gourmet desserts See our menu online. ",MargauxsRestaurant.com,"8111 Creedmoor Rd # 111, Raleigh, NC",1269151051
2,1,0.5,1,Colorado Springs Italian restaurant,Italian Gourmet Dining,Luxurious Northern Italian Cuisine in a Historic Colorado mansion ,www.GabrielsDenver.com,"Colorado Springs, CO",1269049330
2,1,0.5,1,Denver Italian restaurant,Italian Gourmet Dining,Luxurious Northern Italian Cuisine in a Historic Colorado mansion ,www.GabrielsDenver.com,"Denver, CO",1269048960
2,2,1,0,Denver romantic restaurant,Italian Gourmet Dining,Luxurious Northern Italian Cuisine in a Historic Colorado mansion ,www.GabrielsDenver.com,"Denver, CO",1269154101
4,4,1,0,San Diego romantic restaurant,San Diego Italian Food,Make a Reservation Today! Seven Locations. Romantic and Authentic. ,www.busalacchisrestaurantssd.com,"San Diego, CA",1269153966
2,1,0.5,1,Detroit fine dining restaurant,Ann Arbor Restaurant,Make It a Romantic Evening. Dine at a French-Asian Fusion Restaurant. ,www.MercysRestaurant.com,"Detroit, MI",1269153443
2,2,1,0,Memphis Steakhouse restaurant,Memphis BBQ Restaurant,"Memphis Style, Slow Cooked BBQ Since 1952. View Menus &amp; Pricing! ",TopsBarBQ.com,,1269053259
2,2,1,0,Columbus Italian restaurant,Italian Restaurant Menus,Menus from Intalian restaurants Find local Italian restaurants ,www.italian-restaurant-menus.com,,1269048861
2,2,1,0,Indianapolis Italian restaurant,Italian Restaurant Menus,Menus from Intalian restaurants Find local Italian restaurants ,www.italian-restaurant-menus.com,,1269048834
3,3,1,0,Milwaukee Italian restaurant,Italian Restaurant Menus,Menus from Intalian restaurants Find local Italian restaurants ,www.italian-restaurant-menus.com,,1269048946
2,2,1,0,Sacramento Italian restaurant,Italian Restaurant Menus,Menus from Intalian restaurants Find local Italian restaurants ,www.italian-restaurant-menus.com,,1269049071
2,2,1,0,San Antonio Italian restaurant,Italian Restaurant Menus,Menus from Intalian restaurants Find local Italian restaurants ,www.italian-restaurant-menus.com,,1269048754
3,3,1,0,Seattle Italian restaurant,Italian Restaurant Menus,Menus from Intalian restaurants Find local Italian restaurants ,www.italian-restaurant-menus.com,,1269048966
4,2,0.5,1,Phoenix best restaurant,Aunt Chilada&#39;s Restaurant,"Mexican Restaurant and Bar Restaurant, Weddings, Banquets ",www.auntchiladas.com,"Phoenix, AZ",1269155316
