No. Of Ads,Ranking,,Keywords,Header,Text,URL,Location,Timestamp
2,1,0.5,Colorado Springs French restaurant,French in the Springs,Learn French in Colorado Springs Small classes and Private Lessons ,www.frenchinthesprings.com,"612 Hilltop Drive, Colorado Springs, CO",1269147599
2,2,1,Colorado Springs French restaurant,Local Colorado Springs,"Get Restaurant Phone Numbers, Maps, Prices &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147599
1,1,1,Colorado Springs Indian restaurant,Bing™ Restaurant Search,Colorado Springs Indian Restaurant. Reviews &amp; Maps of Local Restaurants ,www.bing.com/Local,,1269056371
2,1,0.5,Colorado Springs Italian restaurant,Italian Gourmet Dining,Luxurious Northern Italian Cuisine in a Historic Colorado mansion ,www.GabrielsDenver.com,"Colorado Springs, CO",1269049330
2,2,1,Colorado Springs Italian restaurant,Bing™ Search Local,Find Restaurants in Your Area. Reviews &amp; Maps of Local Businesses. ,www.bing.com/Local,,1269049330
1,1,1,Colorado Springs Japanese restaurant,Bing™ Search Local,Colorado Springs Japanese Restaurant. Reviews &amp; Maps of Local Businesses. ,www.bing.com/Local,,1269052997
1,1,1,Colorado Springs Korean restaurant,Bing™ Restaurant Search,Colorado Springs Korean Restaurant. Reviews &amp; Maps of Local Restaurants ,www.bing.com/Local,,1269051493
1,1,1,Colorado Springs Mexican restaurant,Bing™ Restaurant Search,Find Restaurants in Your Area. Reviews &amp; Maps of Local Restaurants ,www.bing.com/Local,,1269153026
1,1,1,Colorado Springs Middle Eastern restaurant,Colorado Springs Restaurant,"Get Restaurant Phone Numbers, Maps, Prices &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269141390
3,1,0.333333333,Colorado Springs romantic restaurant,Fleming&#39;s Makes Memories,"Fleming&#39;s is the perfect dining spot for an elegant, romantic date. ",www.FlemingsSteakhouse.com,,1269154675
3,2,0.666666667,Colorado Springs romantic restaurant,Tajine Alami Restaurant,Four &amp; Six Course Moroccan Feasts &amp; Belly Dancing in Manitou Springs. ,www.tajinealami.com,Colorado,1269154675
3,3,1,Colorado Springs romantic restaurant,The Melting Pot,Fine Dining In Colorado Springs For Any Special Occassion. Call Today. ,www.MeltingPot.com,,1269154675
1,1,1,Colorado Springs Spanish restaurant,Colorado Springs Restaurants,Find local restaurants in the Colorado Springs area. ,www.DexKnows.com,Colorado,1269152472
1,1,1,Colorado Springs Steak restaurant,Colorado Springs Restaurant,"Find Business Phone Numbers, Prices Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269054470
2,1,0.5,Colorado Springs Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053547
2,2,1,Colorado Springs Steakhouse restaurant,Colorado Springs Steakhouses,"Get Restaurant Phone Numbers, Maps, Prices &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269053547
1,1,1,Colorado Springs Thai restaurant,Local Colorado Springs,"Find Business Phone Numbers, Prices Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269050068
1,1,1,Colorado Springs Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055797
1,1,1,Colorado Springs Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054992
1,1,1,Colorado Springs Wine Bar restaurant,Colorado Springs Restaurants,"Get Restaurant Phone Numbers, Maps, Prices &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269133717
1,1,1,Columbus best restaurant,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1269155425
2,1,0.5,Columbus Chinese restaurant,Columbus Chinese Restaurant,Columbus Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050289
2,2,1,Columbus Chinese restaurant,Local Yellow Pages,Find Chinese Restaurants in Columbus. ,Yellowbook.com,,1269050289
1,1,1,Columbus Ethiopian restaurant,Ethiopian restaurant,Find ethiopian restaurant here. We offer local search in your area. ,columbus.local.com,"Columbus, OH",1269056872
1,1,1,Columbus fine dining restaurant,Gourmet Restaurants,Search Our Restaurants Listings For Three &amp; Four Star Dining Near You! ,yellowpages.com,"Columbus, OH",1269153501
1,1,1,Columbus French restaurant,Columbus French Restaurant,Columbus Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147279
1,1,1,Columbus Greek restaurant,Columbus Greek Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269148097
1,1,1,Columbus Indian restaurant,Columbus Indian Restaurant,Columbus Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269056037
1,1,1,Columbus Irish bar restaurant,Columbus Irish Restaurant,Columbus Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133969
2,1,0.5,Columbus Italian restaurant,Columbus Italian Restaurant,Columbus Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269048861
2,2,1,Columbus Italian restaurant,Italian Restaurant Menus,Menus from Intalian restaurants Find local Italian restaurants ,www.italian-restaurant-menus.com,,1269048861
2,1,0.5,Columbus Japanese restaurant,Columbus Japanese Food,Columbus Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269052279
2,2,1,Columbus Japanese restaurant,Benihana in Ohio,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052279
1,1,1,Columbus Korean restaurant,Columbus Korean Restaurant,Columbus Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050873
1,1,1,Columbus Mexican restaurant,Mexican Food,Plan ahead &amp; enjoy a great Mexican dish! See our local lists. ,Yellowbook.com,,1269152709
1,1,1,Columbus Middle Eastern restaurant,Bing™ Search Local,Columbus Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269140666
2,1,0.5,Columbus romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154025
2,2,1,Columbus romantic restaurant,Valentine&#39;s Day Dining,Find Reviews &amp; Listings for Romantic Restaurants in Columbus ,yellowpages.com,"Columbus, OH",1269154025
2,1,0.5,Columbus Spanish restaurant,70% OFF - Restaurant.com®,Get Huge Savings at Restaurant.com. $25 Gift Certificates for Just $3! ,www.Restaurant.com,,1269152123
2,2,1,Columbus Spanish restaurant,Spanish Restaurants,Search Our Restaurants Listings For Spanish Cafes &amp; Tapas Near You! ,yellowpages.com,"Columbus, OH",1269152123
1,1,1,Columbus Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053221
1,1,1,Columbus Sushi restaurant,Sushi Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269051714
1,1,1,Columbus Tapas restaurant,Columbus Tapas Bars,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269150786
1,1,1,Columbus Thai restaurant,Columbus Thai Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269049558
1,1,1,Columbus Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055464
1,1,1,Columbus Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054685
1,1,1,Dallas Bar restaurant,Popular Dallas Bars,Sign Up For 1 Amazing Deal A Day On Dallas&#39;s Best Local Bars &amp; Fun ,www.Groupon.com/Dallas,"Dallas-Ft. Worth, TX",1269132437
2,1,0.5,Dallas best restaurant,Top Dallas Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269155338
2,2,1,Dallas best restaurant,Fearing&#39;s of Dallas,Enjoy the Innovative Menu From the 2008 Restaurant of the Year ,www.RitzCarlton.com/Dallas,,1269155338
2,1,0.5,Dallas Chinese restaurant,Dallas Chinese Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269050205
2,2,1,Dallas Chinese restaurant,Dallas Chinese Restaurant,Get Dallas Chinese Restaurant Search for Dallas Chinese Restaurant ,Ask.com,,1269050205
1,1,1,Dallas Ethiopian restaurant,Dallas Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269056799
4,1,0.25,Dallas fine dining restaurant,LOFT 610 -- Dallas/Plano,New Executive Chef Tre Wilcox Lunch. Dinner. Nightlife. ,www.loft610.com,"Dallas-Ft. Worth, TX",1269153409
4,2,0.5,Dallas fine dining restaurant,Nana Restaurant Dallas,"Steak, Seafood and Fine Wine. One Of America&#39;s Top 50 Restaurants. ",www.NanaRestaurant.com,"2201 N. Stemmons Freeway, Dallas, TX",1269153409
4,3,0.75,Dallas fine dining restaurant,"Del Frisco&#39;s Dallas, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269153409
4,4,1,Dallas fine dining restaurant,Dallas Fine Dining,Look for Top-rated Fine Dining near you with our Ratings! ,dallas.Citysearch.com,"Dallas, TX",1269153409
1,1,1,Dallas French restaurant,Bing™ Search Local,Dallas Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147188
1,1,1,Dallas healthy restaurant,May Dragon Dallas TX,Nightly Performances for Chinese New Year! Restaurant in Addison TX ,www.MayDragon.com,,1269154810
1,1,1,Dallas Indian restaurant,Dallas Indian Restaurant,Dallas Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269055958
1,1,1,Dallas Irish bar restaurant,Dallas Irish Restaurant,Dallas Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133880
1,1,1,Dallas Italian restaurant,Dallas Italian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269048764
3,1,0.333333333,Dallas Japanese restaurant,Japanese Restaurant,"Fresh Sushi, Steaks and Sake. Across from Galleria Mall in Dallas ",www.Hibashi.com,,1269052200
3,2,0.666666667,Dallas Japanese restaurant,Bing ™ Search Local,Dallas Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269052200
3,3,1,Dallas Japanese restaurant,Restaurant Japanese,Check Out Local.com To Find Restaurant Japanese In Your Area! ,Local.com,"Dallas, TX",1269052200
1,1,1,Dallas Korean restaurant,Dallas Korean Restaurant,Dallas Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050794
1,1,1,Dallas Mediterranean restaurant,Zagat Texas,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269142144
2,1,0.5,Dallas Mexican restaurant,Dallas Mexican Restaurant,Dallas Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269152628
2,2,1,Dallas Mexican restaurant,Dallas Mexican Restaurant,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269152628
2,1,0.5,Dallas Middle Eastern restaurant,Dallas Local Business,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269140585
2,2,1,Dallas Middle Eastern restaurant,Middle eastern restaurant,Find middle eastern restaurant here. We offer local search in your area. ,dallas.local.com,"Dallas, TX",1269140585
3,1,0.333333333,Dallas romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269153958
3,2,0.666666667,Dallas romantic restaurant,Romantic Dallas Restaurants,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269153958
3,3,1,Dallas romantic restaurant,Dallas Romantic,Sort Local Romantic Dining by Rating or Distance in your city! ,dallas.Citysearch.com,"Dallas, TX",1269153958
1,1,1,Dallas Spanish restaurant,Dallas Spanish Restaurant,Dallas Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269151222
3,1,0.333333333,Dallas Steak restaurant,Ruth&#39;s Chris Steak House,Online reservations now available. Book your Dallas table now. ,www.ruthschris.com,"Dallas-Ft. Worth, TX",1269053690
3,2,0.666666667,Dallas Steak restaurant,"Del Frisco&#39;s Dallas, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269053690
3,3,1,Dallas Steak restaurant,Steak Restaurant,Check Out Local.com To Find Steak Restaurant In Your Area! ,Local.com,"Dallas, TX",1269053690
2,1,0.5,Dallas Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053147
2,2,1,Dallas Steakhouse restaurant,"Del Frisco&#39;s Dallas, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269053147
3,1,0.333333333,Dallas Sushi restaurant,Sushi Online Delivery,Order Directly from the Restaurant With No Extra Charge! Menus Online ,Dallas.Eat24Hours.com,,1269051633
3,2,0.666666667,Dallas Sushi restaurant,Dallas Sushi Restaurants,Sort Local Sushi by Rating or Distance in your city! ,dallas.Citysearch.com,"Dallas, TX",1269051633
3,3,1,Dallas Sushi restaurant,Sushi restaurant,Find sushi restaurant here. We offer local search in your area. ,dallas.local.com,"Dallas, TX",1269051633
1,1,1,Dallas Tapas restaurant,Dallas Tapas Bars,Dallas Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269150702
3,1,0.333333333,Dallas Thai restaurant,Bing™ Search Local,Dallas Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269049485
3,2,0.666666667,Dallas Thai restaurant,Dallas Thai Restaurants,Read Local Reviews of Thai Restaurants on Citysearch. Try it! ,Dallas.Citysearch.com,"Dallas, TX",1269049485
3,3,1,Dallas Thai restaurant,Dallas Restaurants,Dallas Area Dining Guide. Complete Local Restaurant Listings. ,HelloDallas.com,,1269049485
1,1,1,Dallas Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055366
2,1,0.5,Dallas Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054602
2,2,1,Dallas Vegetarian restaurant,Vegetarian Food Delivery,Order Food Delivery Online From Your Favorite Local Restaurant ,Dallas.Eat24Hours.com,,1269054602
1,1,1,Dallas Wine Bar restaurant,"Del Frisco&#39;s Dallas, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269132979
1,1,1,Denver Bar restaurant,Bars Restaurants Denver,Live Country Music &amp; Dancing. Come to The Grizzly Rose in Denver. ,www.GrizzlyRose.com,,1269132607
3,1,0.333333333,Denver best restaurant,Denver Restaurant Deals,Search the city&#39;s top restaurants. View all $52.80 Denver dining deals ,www.denver.org/restaurants,,1269155508
3,2,0.666666667,Denver best restaurant,The White Chocolate Grill,A contemporary American Restaurant serving honest American food. ,www.whitechocolategrill.com,,1269155508
3,3,1,Denver best restaurant,Corner Bakery Cafe,Grand Opening in SouthGlenn Breakfast Lunch Dinner! ,www.CornerBakeryCafe.com,,1269155508
1,1,1,Denver Brazilian steakhouse,Denver Brazilian Restaurant,Denver Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269150318
2,1,0.5,Denver Chinese restaurant,Twin Dragon Restaurant,Denver&#39;s Best Chinese Restaurant! (303) 781-8068 - Delivery Available ,www.TwinDragonRestaurant.com,"3021 S. Broadway, Englewood, CO 80113",1269050382
2,2,1,Denver Chinese restaurant,Bing™ Search Local,Denver Chinese Restaurant. Reviews &amp; Maps of Local Businesses. ,www.bing.com/Local,,1269050382
1,1,1,Denver Ethiopian restaurant,Bing™ Search Local,Denver Ethiopian Restaurant. Reviews &amp; Maps of Local Businesses. ,www.bing.com/Local,,1269056941
3,1,0.333333333,Denver fine dining restaurant,Fleming&#39;s in Denver,The greatest steak you ever had. Easy online reservations. ,FlemingsSteakhouse.com,Colorado,1269153568
3,2,0.666666667,Denver fine dining restaurant,Denver Restaurants,Free Local Guide to Denver Restaurants ,WhereTraveler.com/Denver,,1269153568
3,3,1,Denver fine dining restaurant,Restaurants &amp; Dining,"View Apartment Pics, Prices, Tours, Floorplans. Check Availability! ",www.ApartmentHomeLiving.com,,1269153568
1,1,1,Denver French restaurant,Denver Dining,Looking for authentic French food? Review our local restaurant lists. ,Yellowbook.com,,1269147365
1,1,1,Denver Greek restaurant,Denver Greek Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269148166
1,1,1,Denver healthy restaurant,Denver Restaurant Deals,Search the city&#39;s top restaurants. View all $52.80 Denver dining deals ,www.denver.org/restaurants,,1269154968
1,1,1,Denver Indian restaurant,Indian Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269056128
1,1,1,Denver Irish bar restaurant,Denver Irish Restaurant,Denver Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269134044
2,1,0.5,Denver Italian restaurant,Italian Gourmet Dining,Luxurious Northern Italian Cuisine in a Historic Colorado mansion ,www.GabrielsDenver.com,"Denver, CO",1269048960
2,2,1,Denver Italian restaurant,Italian Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269048960
2,1,0.5,Denver Japanese restaurant,Denver Japanese Restaurant,Denver Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269052352
2,2,1,Denver Japanese restaurant,Denver Dining,Looking for great Japanese food? Review our local restaurant lists. ,Yellowbook.com,,1269052352
1,1,1,Denver Korean restaurant,Denver Korean Restaurant,Denver Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050955
1,1,1,Denver Mexican restaurant,Hacienda CO Restaurant,Mexican food restaurant for Rocky Mountain tastes ,haciendacolorado.com,"Denver, CO",1269152783
2,1,0.5,Denver romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154101
2,2,1,Denver romantic restaurant,Italian Gourmet Dining,Luxurious Northern Italian Cuisine in a Historic Colorado mansion ,www.GabrielsDenver.com,"Denver, CO",1269154101
1,1,1,Denver Spanish restaurant,Hacienda CO Restaurant,Mexican food restaurant with a Rocky Mountain twist ,haciendacolorado.com,"Denver, CO",1269152214
2,1,0.5,Denver Steak restaurant,"Sullivan&#39;s Denver, CO","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.sullivansteakhouse.com,,1269054222
2,2,1,Denver Steak restaurant,Steak Restaurant,Check Out Local.com To Find Steak Restaurant In Your Area! ,Local.com,"Denver, CO",1269054222
3,1,0.333333333,Denver Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053323
3,2,0.666666667,Denver Steakhouse restaurant,Fleming&#39;s in Denver,The greatest steak you ever had. Easy online reservations. ,FlemingsSteakhouse.com,Colorado,1269053323
3,3,1,Denver Steakhouse restaurant,Denver Steakhouses,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269053323
1,1,1,Denver Sushi restaurant,Sushi Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269051801
1,1,1,Denver Tapas restaurant,Denver Tapas Bars,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269150860
1,1,1,Denver Thai restaurant,Bing™ Restaurant Search,Denver Thai Restaurant. Reviews &amp; Maps of Local Restaurants ,www.bing.com/Local,,1269049640
2,1,0.5,Denver Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055539
2,2,1,Denver Vegan restaurant,Vegan restaurant,Find vegan restaurant here. We offer local search in your area. ,denver.local.com,"Denver, CO",1269055539
1,1,1,Denver Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054751
1,1,1,Detroit Bar restaurant,Detroit Restaurant Guide,"Search Our Restaurant Listings For Diners, Cafes, Delivery &amp; Take-Out! ",yellowpages.com,"Detroit, MI",1269132466
1,1,1,Detroit Brazilian steakhouse,Detroit Brazilian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148613
2,1,0.5,Detroit Chinese restaurant,Detroit Chinese Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269050236
2,2,1,Detroit Chinese restaurant,Chinese Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269050236
1,1,1,Detroit Ethiopian restaurant,Detroit Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269056822
2,1,0.5,Detroit fine dining restaurant,Ann Arbor Restaurant,Make It a Romantic Evening. Dine at a French-Asian Fusion Restaurant. ,www.MercysRestaurant.com,"Detroit, MI",1269153443
2,2,1,Detroit fine dining restaurant,Detroit Gourmet Dining,Search Our Restaurants Listings For Three &amp; Four Star Dining Near You! ,yellowpages.com,"Detroit, MI",1269153443
1,1,1,Detroit French restaurant,Detroit French Restaurant,Detroit Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147217
1,1,1,Detroit Greek restaurant,Detroit Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148053
1,1,1,Detroit Indian restaurant,Detroit Indian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269055986
1,1,1,Detroit Irish bar restaurant,Detroit Irish Restaurant,Detroit Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133912
2,1,0.5,Detroit Italian restaurant,Local Italian Restaurants,"Local Italian Food &amp; Restaurants - Gourmet, Family Style, Cafes, more. ",yellowpages.com,"Detroit, MI",1269048806
2,2,1,Detroit Italian restaurant,Italian Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269048806
1,1,1,Detroit Japanese restaurant,Detroit Japanese Restaurant,Detroit Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269052234
1,1,1,Detroit Korean restaurant,Detroit Korean Restaurant,Detroit Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050829
1,1,1,Detroit Mexican restaurant,Detroit Mexican Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269152661
1,1,1,Detroit Middle Eastern restaurant,Middle eastern restaurant,Find middle eastern restaurant here. We offer local search in your area. ,www.local.com,"Detroit, MI",1269140620
1,1,1,Detroit romantic restaurant,Fleming&#39;s Makes Memories,"Fleming&#39;s is the perfect dining spot for an elegant, romantic date. ",www.FlemingsSteakhouse.com,,1269153979
1,1,1,Detroit Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053728
1,1,1,Detroit Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053179
1,1,1,Detroit Sushi restaurant,Restaurant sushi,Detroit&#39;s Online Local Search Find Restaurant Sushi Here! ,www.local.com,"Detroit, MI",1269051662
1,1,1,Detroit Tapas restaurant,70% OFF Restaurant.com,$25 Gift Certificates for Just $3 Save Big on Dining Out Today! ,www.Restaurant.com,,1269150725
2,1,0.5,Detroit Thai restaurant,Detroit Thai Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269049516
2,2,1,Detroit Thai restaurant,Thai Food,Plan ahead &amp; enjoy a great Thai dish! See our local lists. ,Yellowbook.com,,1269049516
2,1,0.5,Detroit Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055401
2,2,1,Detroit Vegan restaurant,Detroit Restaurant Guide,"Search Our Restaurant Listings For Diners, Cafes, Delivery &amp; Take-Out! ",yellowpages.com,"Detroit, MI",1269055401
1,1,1,Detroit Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054633
1,1,1,Detroit Wine Bar restaurant,Detroit Restaurant Guide,"Search Our Restaurant Listings For Diners, Cafes, Delivery &amp; Take-Out! ",yellowpages.com,"Detroit, MI",1269133007
1,1,1,El Paso Bar restaurant,El Paso Bar,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269132585
1,1,1,El Paso best restaurant,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1269155488
1,1,1,El Paso Brazilian steakhouse,El Paso Brazilian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148721
2,1,0.5,El Paso Chinese restaurant,El Paso Local Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269050354
2,2,1,El Paso Chinese restaurant,El Paso Chinese Restaurant,El Paso Area Dining Guide. Complete Local Restaurant Listings. ,HelloElPaso.com,,1269050354
1,1,1,El Paso Ethiopian restaurant,El Paso Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269056921
1,1,1,El Paso fine dining restaurant,El Paso Fine Dining,Sort Local Fine Dining by Rating or Distance in your city! ,ElPaso.Citysearch.com,"El Paso, TX",1269153552
1,1,1,El Paso French restaurant,El Paso French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147342
1,1,1,El Paso Greek restaurant,El Paso Restaurants,Read Listings &amp; Reviews Of Local Restaurants at Superpages ,www.superpages.com,,1269148146
1,1,1,El Paso Indian restaurant,El Paso Indian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269056105
1,1,1,El Paso Irish bar restaurant,El Paso Irish Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269134031
2,1,0.5,El Paso Italian restaurant,Visit Peter Piper Pizza,"The Food&#39;s As Good As the Fun. Come For The Pizza, Stay For The Games! ",PeterPiperPizzaStores.com/Family,"6015 N Mesa St, El Paso, TX 79912",1269048932
2,2,1,El Paso Italian restaurant,Local Italian Restaurants,"Local Italian Food &amp; Restaurants - Gourmet, Family Style, Cafes, more. ",yellowpages.com,"El Paso, TX",1269048932
2,1,0.5,El Paso Japanese restaurant,Bing™ Search Local,El Paso Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269052335
2,2,1,El Paso Japanese restaurant,El Paso Japanese Restaurant,El Paso Area Dining Guide. Complete Local Restaurant Listings. ,HelloElPaso.com,,1269052335
2,1,0.5,El Paso Korean restaurant,El Paso Korean Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269050939
2,2,1,El Paso Korean restaurant,El Paso - Korean Food,Looking for Korean Food in El Paso? Find it here! ,www.local.com,"El Paso, TX",1269050939
